,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2023,Stock,Yearly Results of Aarti Industries (in Rs. Cr.),,Yearly Results of Balrampur Chini Mills (in Rs. Cr.),,Yearly Results of Bharti Airtel (in Rs. Cr.),,Yearly Results of Bharat Heavy Electricals (in Rs. Cr.),,Yearly Results of Britannia Industries (in Rs. Cr.),,Yearly Results of Birlasoft (in Rs. Cr.),,Yearly Results of Canara Bank (in Rs. Cr.),,Yearly Results of Chambal Fertilisers and Chemicals (in Rs. Cr.),,Yearly Results of Colgate Palmolive (India) (in Rs. Cr.),,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.),,Yearly Results of Escorts Kubota (in Rs. Cr.),,Yearly Results of GMR Airports Infrastructure (in Rs. Cr.),,Yearly Results of Hindustan Aeronautics Ltd. (in Rs. Cr.),,Yearly Results of Havells India (in Rs. Cr.),,Yearly Results of HDFC Life Insurance Company (in Rs. Cr.),,Yearly Results of L&T Finance Holdings (in Rs. Cr.),,Yearly Results of Maruti Suzuki India (in Rs. Cr.),,Yearly Results of Max Financial Services (in Rs. Cr.),,Yearly Results of NMDC (in Rs. Cr.),,Yearly Results of Piramal Enterprises (in Rs. Cr.),,Yearly Results of Trent (in Rs. Cr.),,Yearly Results of Vedanta (in Rs. Cr.),
33,,7.49,9.45,9.64,7.89,6.42,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Basic EPS,,,,,,,,,,,,,,,,,,,,,,,,,
34,,7.46,9.41,9.56,7.83,6.38,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Diluted EPS,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
36,,7.49,9.45,9.64,7.89,6.42,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Basic EPS.,,,,,,,,,,,,,,,,,,,,,,,,,
37,,7.46,9.41,9.56,7.83,6.38,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Diluted EPS.,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,
39,,--,--,--,--,--,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,No Of Shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,
40,,--,--,--,--,--,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Share Holding (%),,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
43,,--,--,--,--,--,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Number of shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,
44,,--,--,--,--,--,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,,,,,,,,,,,,,
45,,--,--,--,--,--,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
47,,--,--,--,--,--,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Number of shares (Crores).,,,,,,,,,,,,,,,,,,,,,,,,,
48,,--,--,--,--,--,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,,,,,,,,,,,,,
49,,--,--,--,--,--,,2018,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.),,,,,,,,,,,,,,,,,,,,,,,,,
1,,5809.31,5373.20,4749.95,4511.97,4478.91,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Net Sales/Income from operations,,,,,,,,,,,,,,,,,,,,,,,,,
2,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5809.31,5373.20,4749.95,4511.97,4478.91,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Total Income From Operations,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1308.04,1193.91,985.44,979.46,1056.49,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Consumption of Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,
6,,2815.34,2456.65,2283.20,2211.85,2058.62,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Purchase of Traded Goods,,,,,,,,,,,,,,,,,,,,,,,,,
7,,-113.93,39.45,-38.20,-126.29,-23.29,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Increase/Decrease in Stocks,,,,,,,,,,,,,,,,,,,,,,,,,
8,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Power & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,
9,,439.63,362.39,336.58,310.95,291.88,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Employees Cost,,,,,,,,,,,,,,,,,,,,,,,,,
10,,54.23,42.29,29.69,26.79,12.89,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,
11,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Excise Duty,,,,,,,,,,,,,,,,,,,,,,,,,
12,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Admin. And Selling Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
13,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,R & D Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
14,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Provisions And Contingencies,,,,,,,,,,,,,,,,,,,,,,,,,
15,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Exp. Capitalised,,,,,,,,,,,,,,,,,,,,,,,,,
16,,688.95,559.95,478.24,539.14,509.42,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
17,,617.05,718.56,675.00,570.07,572.90,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,
18,,74.41,79.90,75.63,58.87,48.26,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,
19,,691.46,798.46,750.63,628.94,621.16,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,
20,,102.69,35.31,42.91,40.67,59.60,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Interest,,,,,,,,,,,,,,,,,,,,,,,,,
21,,588.77,763.15,707.72,588.27,561.56,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,,,,,,,,,,,,,,,
22,,5.54,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,,
23,,594.31,763.15,707.72,588.27,561.56,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L Before Tax,,,,,,,,,,,,,,,,,,,,,,,,,
24,,118.75,169.67,102.98,93.57,159.04,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Tax,,,,,,,,,,,,,,,,,,,,,,,,,
25,,475.56,593.48,604.74,494.70,402.52,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,,,,,,,,,,,,,,,
26,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Prior Year Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,
27,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Extra Ordinary Items,,,,,,,,,,,,,,,,,,,,,,,,,
28,,475.56,593.48,604.74,494.70,402.52,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,,,,,,,,,,,,,,,
29,,127.22,126.68,125.54,125.46,125.38,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Equity Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,
30,,2572.63,2190.35,1630.92,1201.10,852.25,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,,,,,,,,,,,,,,,
31,,150.00,125.00,275.00,--,100.00,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Equity Dividend Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
33,,7.49,9.45,9.64,7.89,6.42,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Basic EPS,,,,,,,,,,,,,,,,,,,,,,,,,
34,,7.46,9.41,9.56,7.83,6.38,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Diluted EPS,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
36,,7.49,9.45,9.64,7.89,6.42,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Basic EPS.,,,,,,,,,,,,,,,,,,,,,,,,,
37,,7.46,9.41,9.56,7.83,6.38,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Diluted EPS.,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,
39,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,No Of Shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,
40,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Share Holding (%),,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
43,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Number of shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,
44,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,,,,,,,,,,,,,
45,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
47,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Number of shares (Crores).,,,,,,,,,,,,,,,,,,,,,,,,,
48,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,,,,,,,,,,,,,
49,,--,--,--,--,--,,2019,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.),,,,,,,,,,,,,,,,,,,,,,,,,
1,,5809.31,5373.20,4749.95,4511.97,4478.91,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Net Sales/Income from operations,,,,,,,,,,,,,,,,,,,,,,,,,
2,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5809.31,5373.20,4749.95,4511.97,4478.91,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Total Income From Operations,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1308.04,1193.91,985.44,979.46,1056.49,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Consumption of Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,
6,,2815.34,2456.65,2283.20,2211.85,2058.62,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Purchase of Traded Goods,,,,,,,,,,,,,,,,,,,,,,,,,
7,,-113.93,39.45,-38.20,-126.29,-23.29,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Increase/Decrease in Stocks,,,,,,,,,,,,,,,,,,,,,,,,,
8,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Power & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,
9,,439.63,362.39,336.58,310.95,291.88,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Employees Cost,,,,,,,,,,,,,,,,,,,,,,,,,
10,,54.23,42.29,29.69,26.79,12.89,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,
11,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Excise Duty,,,,,,,,,,,,,,,,,,,,,,,,,
12,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Admin. And Selling Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
13,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,R & D Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
14,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Provisions And Contingencies,,,,,,,,,,,,,,,,,,,,,,,,,
15,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Exp. Capitalised,,,,,,,,,,,,,,,,,,,,,,,,,
16,,688.95,559.95,478.24,539.14,509.42,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
17,,617.05,718.56,675.00,570.07,572.90,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,
18,,74.41,79.90,75.63,58.87,48.26,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,
19,,691.46,798.46,750.63,628.94,621.16,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,
20,,102.69,35.31,42.91,40.67,59.60,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Interest,,,,,,,,,,,,,,,,,,,,,,,,,
21,,588.77,763.15,707.72,588.27,561.56,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,,,,,,,,,,,,,,,
22,,5.54,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,,
23,,594.31,763.15,707.72,588.27,561.56,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L Before Tax,,,,,,,,,,,,,,,,,,,,,,,,,
24,,118.75,169.67,102.98,93.57,159.04,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Tax,,,,,,,,,,,,,,,,,,,,,,,,,
25,,475.56,593.48,604.74,494.70,402.52,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,,,,,,,,,,,,,,,
26,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Prior Year Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,
27,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Extra Ordinary Items,,,,,,,,,,,,,,,,,,,,,,,,,
28,,475.56,593.48,604.74,494.70,402.52,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,,,,,,,,,,,,,,,
29,,127.22,126.68,125.54,125.46,125.38,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Equity Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,
30,,2572.63,2190.35,1630.92,1201.10,852.25,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,,,,,,,,,,,,,,,
31,,150.00,125.00,275.00,--,100.00,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Equity Dividend Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
33,,7.49,9.45,9.64,7.89,6.42,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Basic EPS,,,,,,,,,,,,,,,,,,,,,,,,,
34,,7.46,9.41,9.56,7.83,6.38,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Diluted EPS,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,
36,,7.49,9.45,9.64,7.89,6.42,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Basic EPS.,,,,,,,,,,,,,,,,,,,,,,,,,
37,,7.46,9.41,9.56,7.83,6.38,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Diluted EPS.,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,
39,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,No Of Shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,
40,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Share Holding (%),,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
43,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Number of shares (Crores),,,,,,,,,,,,,,,,,,,,,,,,,
44,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,,,,,,,,,,,,,
45,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,
47,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Number of shares (Crores).,,,,,,,,,,,,,,,,,,,,,,,,,
48,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,,,,,,,,,,,,,
49,,--,--,--,--,--,,2020,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.),,,,,,,,,,,,,,,,,,,,,,,,,
1,,5809.31,5373.20,4749.95,4511.97,4478.91,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Net Sales/Income from operations,,,,,,,,,,,,,,,,,,,,,,,,,
2,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5809.31,5373.20,4749.95,4511.97,4478.91,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Total Income From Operations,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1308.04,1193.91,985.44,979.46,1056.49,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Consumption of Raw Materials,,,,,,,,,,,,,,,,,,,,,,,,,
6,,2815.34,2456.65,2283.20,2211.85,2058.62,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Purchase of Traded Goods,,,,,,,,,,,,,,,,,,,,,,,,,
7,,-113.93,39.45,-38.20,-126.29,-23.29,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Increase/Decrease in Stocks,,,,,,,,,,,,,,,,,,,,,,,,,
8,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Power & Fuel,,,,,,,,,,,,,,,,,,,,,,,,,
9,,439.63,362.39,336.58,310.95,291.88,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Employees Cost,,,,,,,,,,,,,,,,,,,,,,,,,
10,,54.23,42.29,29.69,26.79,12.89,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,
11,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Excise Duty,,,,,,,,,,,,,,,,,,,,,,,,,
12,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Admin. And Selling Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
13,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,R & D Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
14,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Provisions And Contingencies,,,,,,,,,,,,,,,,,,,,,,,,,
15,,--,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Exp. Capitalised,,,,,,,,,,,,,,,,,,,,,,,,,
16,,688.95,559.95,478.24,539.14,509.42,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
17,,617.05,718.56,675.00,570.07,572.90,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,
18,,74.41,79.90,75.63,58.87,48.26,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,
19,,691.46,798.46,750.63,628.94,621.16,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,,,,,,,,,,,,,,,
20,,102.69,35.31,42.91,40.67,59.60,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Interest,,,,,,,,,,,,,,,,,,,,,,,,,
21,,588.77,763.15,707.72,588.27,561.56,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,,,,,,,,,,,,,,,
22,,5.54,--,--,--,--,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,,
23,,594.31,763.15,707.72,588.27,561.56,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,P/L Before Tax,,,,,,,,,,,,,,,,,,,,,,,,,
24,,118.75,169.67,102.98,93.57,159.04,,2021,cromptongreavesconsumerelectrical,,,,,,,,,,,,,,,,,,,Tax,,,,,,,,,,,,,,,,,,,,,,,,,
