,0,1,2,3,Stock,4,5,6
6,Reserves and Surplus,125948.68,124354.14,102657.01,indianoilcorporation,86216.87,103288.20,
7,Total Reserves and Surplus,125948.68,124354.14,102657.01,indianoilcorporation,86216.87,103288.20,
8,Total Shareholders Funds,139720.24,133535.18,111838.05,indianoilcorporation,95397.91,112469.24,
9,Minority Interest,3494.10,1591.47,975.94,indianoilcorporation,876.27,1877.36,
10,NON-CURRENT LIABILITIES,,,,indianoilcorporation,,,
11,Long Term Borrowings,63312.94,55944.54,60934.90,indianoilcorporation,56070.61,39152.45,
12,Deferred Tax Liabilities [Net],16800.42,15354.37,13964.47,indianoilcorporation,11439.29,16509.71,
13,Other Long Term Liabilities,10379.62,10458.00,3430.84,indianoilcorporation,2837.68,2215.48,
14,Long Term Provisions,1396.44,1586.59,1596.83,indianoilcorporation,1597.23,2211.99,
15,Total Non-Current Liabilities,91889.42,83343.50,79927.04,indianoilcorporation,71944.81,60089.63,
16,CURRENT LIABILITIES,,,,indianoilcorporation,,,
17,Short Term Borrowings,76801.88,67605.56,47580.01,indianoilcorporation,69897.44,53559.29,
18,Trade Payables,54734.10,49045.91,37247.97,indianoilcorporation,27576.26,41194.12,
19,Other Current Liabilities,64966.07,65754.64,68044.58,indianoilcorporation,54407.87,55791.42,
20,Short Term Provisions,10156.28,9748.59,9302.33,indianoilcorporation,9636.27,10174.05,
21,Total Current Liabilities,206658.33,192154.70,162174.89,indianoilcorporation,161517.84,160718.88,
22,Total Capital And Liabilities,441762.09,410624.85,354915.92,indianoilcorporation,329736.83,335155.11,
23,ASSETS,,,,indianoilcorporation,,,
24,NON-CURRENT ASSETS,,,,indianoilcorporation,,,
25,Tangible Assets,176532.05,157194.98,153698.39,indianoilcorporation,144076.30,129647.12,
26,Intangible Assets,3514.48,3318.33,3385.36,indianoilcorporation,2944.79,2845.60,
27,Capital Work-In-Progress,47550.08,44049.82,32953.16,indianoilcorporation,29628.86,23401.01,
28,Fixed Assets,231180.00,207982.58,193374.29,indianoilcorporation,179865.93,160773.46,
29,Non-Current Investments,41753.92,44338.76,35434.21,indianoilcorporation,27279.69,35510.76,
30,Deferred Tax Assets [Net],0.00,0.00,0.00,indianoilcorporation,0.00,0.00,
31,Long Term Loans And Advances,2285.11,2292.96,2615.24,indianoilcorporation,3294.66,2291.10,
32,Other Non-Current Assets,7676.53,9148.82,7282.45,indianoilcorporation,8560.23,6802.72,
33,Total Non-Current Assets,282896.60,263764.16,238707.23,indianoilcorporation,219001.55,205379.08,
34,CURRENT ASSETS,,,,indianoilcorporation,,,
35,Current Investments,10436.54,8013.20,9282.61,indianoilcorporation,8291.18,8416.90,
36,Inventories,121107.58,111736.51,83427.46,indianoilcorporation,67010.76,77126.48,
37,Trade Receivables,16271.21,18700.42,13800.28,indianoilcorporation,13259.48,15797.72,
38,Cash And Cash Equivalents,2096.64,1820.14,2474.73,indianoilcorporation,2295.98,1064.68,
39,Short Term Loans And Advances,379.73,450.92,988.61,indianoilcorporation,1089.64,1592.05,
40,OtherCurrentAssets,8573.79,6139.50,6235.00,indianoilcorporation,18788.24,25778.20,
41,Total Current Assets,158865.49,146860.69,116208.69,indianoilcorporation,110735.28,129776.03,
42,Total Assets,441762.09,410624.85,354915.92,indianoilcorporation,329736.83,335155.11,
43,OTHER ADDITIONAL INFORMATION,,,,indianoilcorporation,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,indianoilcorporation,,,
45,Contingent Liabilities,18483.75,69357.88,48748.74,indianoilcorporation,47749.03,47434.95,
46,BONUS DETAILS,,,,indianoilcorporation,,,
47,Bonus Equity Share Capital,9037.98,9037.98,9037.98,indianoilcorporation,9037.98,9037.98,
48,NON-CURRENT INVESTMENTS,,,,indianoilcorporation,,,
49,Non-Current Investments Quoted Market Value,33570.10,34445.57,0.00,indianoilcorporation,0.00,0.00,
50,Non-Current Investments Unquoted Book Value,21003.23,19830.69,5075.77,indianoilcorporation,1845.76,2119.21,
51,CURRENT INVESTMENTS,,,,indianoilcorporation,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,indianoilcorporation,0.00,0.00,
53,Current Investments Unquoted Book Value,0.00,0.00,415.32,indianoilcorporation,204.79,1.10,
0,Balance Sheet of IRCTC - Indian Railway Catering & Tourism Corp (in Rs. Cr.),Mar 23,Mar 22,Mar 21,irctc-indianrailwaycateringtourismcorp,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,irctc-indianrailwaycateringtourismcorp,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,irctc-indianrailwaycateringtourismcorp,,,
3,SHAREHOLDER'S FUNDS,,,,irctc-indianrailwaycateringtourismcorp,,,
4,Equity Share Capital,160.00,160.00,160.00,irctc-indianrailwaycateringtourismcorp,160.00,160.00,
5,Total Share Capital,160.00,160.00,160.00,irctc-indianrailwaycateringtourismcorp,160.00,160.00,
6,Reserves and Surplus,2318.40,1723.88,1306.95,irctc-indianrailwaycateringtourismcorp,1167.82,911.02,
7,Total Reserves and Surplus,2318.40,1723.88,1306.95,irctc-indianrailwaycateringtourismcorp,1167.82,911.02,
8,Total Shareholders Funds,2478.40,1883.88,1466.95,irctc-indianrailwaycateringtourismcorp,1327.82,1071.02,
9,NON-CURRENT LIABILITIES,,,,irctc-indianrailwaycateringtourismcorp,,,
10,Long Term Borrowings,0.00,0.00,0.00,irctc-indianrailwaycateringtourismcorp,0.00,0.00,
11,Deferred Tax Liabilities [Net],0.00,0.00,0.00,irctc-indianrailwaycateringtourismcorp,0.00,0.00,
12,Other Long Term Liabilities,113.55,114.31,88.75,irctc-indianrailwaycateringtourismcorp,86.85,20.53,
13,Long Term Provisions,105.44,54.35,72.57,irctc-indianrailwaycateringtourismcorp,48.88,46.16,
14,Total Non-Current Liabilities,218.99,168.66,161.31,irctc-indianrailwaycateringtourismcorp,135.73,66.69,
15,CURRENT LIABILITIES,,,,irctc-indianrailwaycateringtourismcorp,,,
16,Short Term Borrowings,0.00,21.49,0.00,irctc-indianrailwaycateringtourismcorp,0.00,0.00,
17,Trade Payables,852.15,678.60,180.31,irctc-indianrailwaycateringtourismcorp,169.54,193.13,
18,Other Current Liabilities,1511.63,1056.14,1346.62,irctc-indianrailwaycateringtourismcorp,1585.64,1249.64,
19,Short Term Provisions,27.58,28.40,10.85,irctc-indianrailwaycateringtourismcorp,31.11,13.75,
20,Total Current Liabilities,2391.37,1784.63,1537.78,irctc-indianrailwaycateringtourismcorp,1786.29,1456.52,
21,Total Capital And Liabilities,5088.76,3837.18,3166.04,irctc-indianrailwaycateringtourismcorp,3249.84,2594.24,
22,ASSETS,,,,irctc-indianrailwaycateringtourismcorp,,,
23,NON-CURRENT ASSETS,,,,irctc-indianrailwaycateringtourismcorp,,,
24,Tangible Assets,321.62,303.09,275.93,irctc-indianrailwaycateringtourismcorp,251.66,147.05,
25,Intangible Assets,2.73,5.36,6.69,irctc-indianrailwaycateringtourismcorp,4.34,7.55,
26,Capital Work-In-Progress,33.79,26.17,24.30,irctc-indianrailwaycateringtourismcorp,16.21,40.38,
27,Other Assets,26.58,26.96,27.34,irctc-indianrailwaycateringtourismcorp,27.39,27.66,
28,Fixed Assets,384.72,361.59,334.26,irctc-indianrailwaycateringtourismcorp,299.60,222.63,
29,Non-Current Investments,0.00,0.00,0.00,irctc-indianrailwaycateringtourismcorp,0.00,0.00,
30,Deferred Tax Assets [Net],130.55,94.73,71.89,irctc-indianrailwaycateringtourismcorp,65.72,81.72,
31,Long Term Loans And Advances,0.00,0.00,0.19,irctc-indianrailwaycateringtourismcorp,0.18,2.39,
32,Other Non-Current Assets,220.84,49.81,34.76,irctc-indianrailwaycateringtourismcorp,26.34,22.95,
33,Total Non-Current Assets,736.11,506.13,441.10,irctc-indianrailwaycateringtourismcorp,391.85,329.70,
34,CURRENT ASSETS,,,,irctc-indianrailwaycateringtourismcorp,,,
35,Current Investments,0.00,0.00,0.00,irctc-indianrailwaycateringtourismcorp,0.00,0.00,
36,Inventories,9.61,7.93,6.54,irctc-indianrailwaycateringtourismcorp,9.76,7.89,
37,Trade Receivables,1142.91,572.64,540.05,irctc-indianrailwaycateringtourismcorp,789.41,587.45,
38,Cash And Cash Equivalents,1933.73,1731.57,1460.50,irctc-indianrailwaycateringtourismcorp,1296.43,1140.04,
39,Short Term Loans And Advances,208.81,103.05,11.25,irctc-indianrailwaycateringtourismcorp,11.89,8.35,
40,OtherCurrentAssets,1057.58,915.86,706.60,irctc-indianrailwaycateringtourismcorp,750.50,520.81,
41,Total Current Assets,4352.65,3331.04,2724.94,irctc-indianrailwaycateringtourismcorp,2857.99,2264.54,
42,Total Assets,5088.76,3837.18,3166.04,irctc-indianrailwaycateringtourismcorp,3249.84,2594.24,
43,OTHER ADDITIONAL INFORMATION,,,,irctc-indianrailwaycateringtourismcorp,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,irctc-indianrailwaycateringtourismcorp,,,
45,Contingent Liabilities,485.91,307.60,206.57,irctc-indianrailwaycateringtourismcorp,235.92,224.01,
46,CIF VALUE OF IMPORTS,,,,irctc-indianrailwaycateringtourismcorp,,,
47,Raw Materials,0.00,0.00,0.00,irctc-indianrailwaycateringtourismcorp,0.00,0.00,
48,"Stores, Spares And Loose Tools",0.00,0.00,0.00,irctc-indianrailwaycateringtourismcorp,0.00,0.00,
49,Trade/Other Goods,0.00,0.00,0.00,irctc-indianrailwaycateringtourismcorp,0.00,0.00,
50,Capital Goods,0.00,0.00,0.00,irctc-indianrailwaycateringtourismcorp,0.00,0.00,
51,EXPENDITURE IN FOREIGN EXCHANGE,,,,irctc-indianrailwaycateringtourismcorp,,,
52,Expenditure In Foreign Currency,0.47,0.01,0.01,irctc-indianrailwaycateringtourismcorp,0.47,0.67,
53,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,,,,irctc-indianrailwaycateringtourismcorp,,,
54,Dividend Remittance In Foreign Currency,--,--,--,irctc-indianrailwaycateringtourismcorp,--,--,
55,EARNINGS IN FOREIGN EXCHANGE,,,,irctc-indianrailwaycateringtourismcorp,,,
56,FOB Value Of Goods,--,--,--,irctc-indianrailwaycateringtourismcorp,--,--,
57,Other Earnings,27.37,19.37,9.85,irctc-indianrailwaycateringtourismcorp,43.32,33.54,
58,BONUS DETAILS,,,,irctc-indianrailwaycateringtourismcorp,,,
59,Bonus Equity Share Capital,140.00,140.00,140.00,irctc-indianrailwaycateringtourismcorp,140.00,140.00,
60,NON-CURRENT INVESTMENTS,,,,irctc-indianrailwaycateringtourismcorp,,,
61,Non-Current Investments Quoted Market Value,--,--,--,irctc-indianrailwaycateringtourismcorp,--,--,
62,Non-Current Investments Unquoted Book Value,--,--,0.00,irctc-indianrailwaycateringtourismcorp,0.00,0.00,
63,CURRENT INVESTMENTS,,,,irctc-indianrailwaycateringtourismcorp,,,
64,Current Investments Quoted Market Value,--,--,--,irctc-indianrailwaycateringtourismcorp,--,--,
65,Current Investments Unquoted Book Value,--,--,--,irctc-indianrailwaycateringtourismcorp,--,--,
0,Balance Sheet of Indraprastha Gas (in Rs. Cr.),Mar 23,Mar 22,Mar 21,indraprasthagas,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,indraprasthagas,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,indraprasthagas,,,
3,SHAREHOLDER'S FUNDS,,,,indraprasthagas,,,
4,Equity Share Capital,140.00,140.00,140.00,indraprasthagas,140.00,140.00,
5,Total Share Capital,140.00,140.00,140.00,indraprasthagas,140.00,140.00,
6,Reserves and Surplus,7791.24,7446.04,6194.43,indraprasthagas,5217.97,4175.71,
7,Total Reserves and Surplus,7791.24,7446.04,6194.43,indraprasthagas,5217.97,4175.71,
8,Total Shareholders Funds,7931.24,7586.04,6334.43,indraprasthagas,5357.97,4315.71,
9,Minority Interest,0.00,0.00,0.00,indraprasthagas,0.00,0.00,
10,NON-CURRENT LIABILITIES,,,,indraprasthagas,,,
11,Long Term Borrowings,0.00,0.00,0.00,indraprasthagas,0.00,0.00,
12,Deferred Tax Liabilities [Net],316.78,273.67,242.19,indraprasthagas,288.40,315.93,
13,Other Long Term Liabilities,113.01,94.67,95.57,indraprasthagas,79.02,1.38,
14,Long Term Provisions,27.99,26.75,25.64,indraprasthagas,23.47,19.55,
15,Total Non-Current Liabilities,457.78,395.09,363.40,indraprasthagas,390.89,336.86,
16,CURRENT LIABILITIES,,,,indraprasthagas,,,
17,Short Term Borrowings,0.00,0.00,0.00,indraprasthagas,0.00,0.00,
18,Trade Payables,901.33,786.69,418.60,indraprasthagas,224.96,488.48,
19,Other Current Liabilities,2814.43,1931.62,1586.54,indraprasthagas,1313.24,1042.24,
20,Short Term Provisions,515.82,402.77,347.01,indraprasthagas,257.29,0.00,
21,Total Current Liabilities,4231.58,3121.08,2352.15,indraprasthagas,1795.49,1530.72,
22,Total Capital And Liabilities,12620.60,11102.21,9049.98,indraprasthagas,7544.35,6183.29,
23,ASSETS,,,,indraprasthagas,,,
24,NON-CURRENT ASSETS,,,,indraprasthagas,,,
25,Tangible Assets,7167.28,4989.61,4303.80,indraprasthagas,3538.73,2855.30,
26,Intangible Assets,0.00,12.13,17.07,indraprasthagas,18.17,21.55,
27,Capital Work-In-Progress,0.00,1378.60,846.94,indraprasthagas,776.69,478.08,
28,Fixed Assets,7167.28,6380.34,5167.81,indraprasthagas,4333.59,3354.93,
29,Non-Current Investments,1102.80,908.01,720.70,indraprasthagas,630.22,492.07,
30,Deferred Tax Assets [Net],0.00,0.00,0.00,indraprasthagas,0.00,0.00,
31,Long Term Loans And Advances,0.00,0.00,13.69,indraprasthagas,13.38,11.47,
32,Other Non-Current Assets,122.62,51.17,52.27,indraprasthagas,69.52,82.45,
33,Total Non-Current Assets,8392.70,7339.52,5954.47,indraprasthagas,5046.71,3940.92,
34,CURRENT ASSETS,,,,indraprasthagas,,,
35,Current Investments,419.13,1717.68,1567.70,indraprasthagas,0.00,1285.87,
36,Inventories,49.17,45.52,45.55,indraprasthagas,51.11,50.94,
37,Trade Receivables,903.35,520.56,260.71,indraprasthagas,170.39,221.48,
38,Cash And Cash Equivalents,2633.23,1361.64,1132.29,indraprasthagas,2179.94,607.09,
39,Short Term Loans And Advances,0.00,22.15,7.64,indraprasthagas,1.99,3.78,
40,OtherCurrentAssets,223.02,95.14,81.62,indraprasthagas,94.21,73.21,
41,Total Current Assets,4227.90,3762.69,3095.51,indraprasthagas,2497.64,2242.37,
42,Total Assets,12620.60,11102.21,9049.98,indraprasthagas,7544.35,6183.29,
43,OTHER ADDITIONAL INFORMATION,,,,indraprasthagas,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,indraprasthagas,,,
45,Contingent Liabilities,0.00,5281.77,4352.37,indraprasthagas,4818.87,3267.90,
46,BONUS DETAILS,,,,indraprasthagas,,,
47,Bonus Equity Share Capital,0.00,0.00,0.00,indraprasthagas,0.00,0.00,
48,NON-CURRENT INVESTMENTS,,,,indraprasthagas,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,indraprasthagas,0.00,0.00,
50,Non-Current Investments Unquoted Book Value,0.00,0.00,0.00,indraprasthagas,0.00,492.07,
51,CURRENT INVESTMENTS,,,,indraprasthagas,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,indraprasthagas,0.00,0.00,
53,Current Investments Unquoted Book Value,0.00,1717.68,1567.70,indraprasthagas,0.00,1285.87,
0,Balance Sheet of INDUS TOWERS (in Rs. Cr.),Mar 23,Mar 22,Mar 21,industowers,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,industowers,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,industowers,,,
3,SHAREHOLDER'S FUNDS,,,,industowers,,,
4,Equity Share Capital,2694.90,2694.90,2694.90,industowers,1849.60,1849.60,
5,Total Share Capital,2694.90,2694.90,2694.90,industowers,1849.60,1849.60,
6,Reserves and Surplus,18402.80,19455.60,13182.10,industowers,11692.70,12682.00,
7,Total Reserves and Surplus,18402.80,19455.60,13182.10,industowers,11692.70,12682.00,
8,Total Shareholders Funds,21109.50,22150.50,15877.00,industowers,13542.30,14531.60,
9,Minority Interest,0.00,0.00,0.00,industowers,0.00,0.00,
10,NON-CURRENT LIABILITIES,,,,industowers,,,
11,Long Term Borrowings,2434.00,2373.90,1505.10,industowers,0.00,0.00,
12,Deferred Tax Liabilities [Net],0.00,91.80,70.30,industowers,0.00,177.60,
13,Other Long Term Liabilities,12992.30,12804.70,11974.10,industowers,2083.00,373.80,
14,Long Term Provisions,1873.80,1719.80,1566.60,industowers,302.30,272.30,
15,Total Non-Current Liabilities,17300.10,16990.20,15116.10,industowers,2385.30,823.70,
16,CURRENT LIABILITIES,,,,industowers,,,
17,Short Term Borrowings,2278.60,3112.90,5465.20,industowers,2418.40,5.70,
18,Trade Payables,2121.90,2129.30,3258.80,industowers,807.20,1083.30,
19,Other Current Liabilities,3694.70,3531.20,5178.50,industowers,580.70,672.20,
20,Short Term Provisions,67.60,53.50,48.10,industowers,20.00,14.00,
21,Total Current Liabilities,8162.80,8826.90,13950.60,industowers,3826.30,1775.20,
22,Total Capital And Liabilities,46572.40,47967.60,44943.70,industowers,19753.90,17130.50,
23,ASSETS,,,,industowers,,,
24,NON-CURRENT ASSETS,,,,industowers,,,
25,Tangible Assets,32360.50,31790.90,31792.90,industowers,6702.10,5325.10,
26,Intangible Assets,23.10,35.20,7.30,industowers,12.00,7.10,
27,Capital Work-In-Progress,354.60,178.70,273.60,industowers,54.50,118.00,
28,Fixed Assets,32738.20,32004.80,32073.80,industowers,6768.60,5450.20,
29,Non-Current Investments,0.00,0.00,0.00,industowers,7432.00,6950.90,
30,Deferred Tax Assets [Net],1221.80,0.00,0.00,industowers,133.10,15.90,
31,Long Term Loans And Advances,0.00,0.00,0.00,industowers,0.00,0.00,
32,Other Non-Current Assets,3904.80,3651.50,3240.10,industowers,468.90,433.50,
33,Total Non-Current Assets,37864.80,35656.30,35313.90,industowers,14802.60,12850.50,
34,CURRENT ASSETS,,,,industowers,,,
35,Current Investments,275.60,1652.10,2271.40,industowers,3738.10,2954.90,
36,Inventories,0.00,0.00,0.00,industowers,0.00,0.00,
37,Trade Receivables,4868.70,7058.60,3828.50,industowers,367.20,550.90,
38,Cash And Cash Equivalents,22.40,980.20,14.50,industowers,147.00,1.70,
39,Short Term Loans And Advances,0.00,0.00,0.00,industowers,0.00,0.00,
40,OtherCurrentAssets,3540.90,2620.40,3515.40,industowers,699.00,772.50,
41,Total Current Assets,8707.60,12311.30,9629.80,industowers,4951.30,4280.00,
42,Total Assets,46572.40,47967.60,44943.70,industowers,19753.90,17130.50,
43,OTHER ADDITIONAL INFORMATION,,,,industowers,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,industowers,,,
45,Contingent Liabilities,12072.60,11832.10,12565.90,industowers,2268.30,2240.30,
46,BONUS DETAILS,,,,industowers,,,
47,Bonus Equity Share Capital,1702.05,1702.05,1702.05,industowers,1702.05,1702.05,
48,NON-CURRENT INVESTMENTS,,,,industowers,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,industowers,0.00,0.00,
50,Non-Current Investments Unquoted Book Value,0.00,0.00,0.00,industowers,0.00,0.00,
51,CURRENT INVESTMENTS,,,,industowers,,,
52,Current Investments Quoted Market Value,275.60,1654.00,2271.40,industowers,5438.30,4797.30,
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,industowers,0.00,0.00,
0,Balance Sheet of IndusInd Bank (in Rs. Cr.),Mar 23,Mar 22,Mar 21,indusindbank,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,indusindbank,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,indusindbank,,,
3,SHAREHOLDER'S FUNDS,,,,indusindbank,,,
4,Equity Share Capital,775.90,774.66,773.37,indusindbank,693.54,602.69,
5,Total Share Capital,775.90,774.66,773.37,indusindbank,693.54,602.69,
6,Revaluation Reserve,301.66,307.63,313.61,indusindbank,319.58,325.55,
7,Reserves and Surplus,775.90,774.66,773.37,indusindbank,693.54,602.69,
8,Total Reserves and Surplus,54184.40,47235.65,42721.87,indusindbank,33371.20,26073.37,
9,Total ShareHolders Funds,53882.73,46928.02,42408.27,indusindbank,33051.62,25747.82,
10,Minority Interest,0.00,0.00,0.00,indusindbank,0.00,0.00,
11,Deposits,336120.19,293349.47,255870.10,indusindbank,202026.99,194867.91,
12,Borrowings,49011.23,47323.22,51322.81,indusindbank,60753.55,47321.12,
13,Other Liabilities and Provisions,17700.59,13268.30,12209.73,indusindbank,9700.03,8944.43,
14,Total Capital and Liabilities,457836.63,401967.38,362903.30,indusindbank,307228.60,277820.70,
15,ASSETS,,,,indusindbank,,,
16,Cash and Balances with Reserve Bank of India,42974.83,15698.19,17957.39,indusindbank,13682.58,9961.17,
17,Balances with Banks Money at Call and Short Notice,13801.93,52886.51,38652.49,indusindbank,2371.52,4822.23,
18,Investments,83075.68,70929.89,69653.42,indusindbank,59938.44,59268.04,
19,Advances,289923.68,239051.53,212595.41,indusindbank,206783.16,186393.50,
20,Fixed Assets,2078.93,1928.75,1875.74,indusindbank,1870.88,1710.01,
21,Other Assets,25981.58,21472.49,22168.83,indusindbank,22582.02,15665.74,
22,Total Assets,457836.63,401967.38,362903.30,indusindbank,307228.60,277820.70,
23,"CONTINGENT LIABILITIES, COMMITMENTS",,,,indusindbank,,,
24,Bills for Collection,33751.83,29654.25,23601.73,indusindbank,22573.29,32971.51,
25,Contingent Liabilities,1264262.58,923786.00,850074.66,indusindbank,967601.83,952668.45,
0,Balance Sheet of Info Edge India (in Rs. Cr.),Mar 23,Mar 22,Mar 21,infoedgeindia,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,infoedgeindia,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,infoedgeindia,,,
3,SHAREHOLDER'S FUNDS,,,,infoedgeindia,,,
4,Equity Share Capital,129.01,128.71,128.52,infoedgeindia,122.27,122.01,
5,Total Share Capital,129.01,128.71,128.52,infoedgeindia,122.27,122.01,
6,Reserves and Surplus,13104.80,17112.66,5331.03,infoedgeindia,2033.55,2398.02,
7,Total Reserves and Surplus,13104.80,17112.66,5331.03,infoedgeindia,2033.55,2398.02,
8,Total Shareholders Funds,13398.02,17241.36,5459.56,infoedgeindia,2195.56,2542.59,
9,Minority Interest,1027.85,809.32,78.73,infoedgeindia,0.00,-13.47,
10,NON-CURRENT LIABILITIES,,,,infoedgeindia,,,
11,Long Term Borrowings,1.40,0.65,0.07,infoedgeindia,0.24,0.37,
12,Deferred Tax Liabilities [Net],800.43,1245.12,109.10,infoedgeindia,5.47,0.00,
13,Other Long Term Liabilities,82.05,45.49,46.35,infoedgeindia,57.60,13.14,
14,Long Term Provisions,1.61,0.55,0.89,infoedgeindia,0.64,1.27,
15,Total Non-Current Liabilities,885.49,1291.81,156.41,infoedgeindia,63.96,14.79,
16,CURRENT LIABILITIES,,,,infoedgeindia,,,
17,Short Term Borrowings,1.02,0.00,0.00,infoedgeindia,0.00,0.00,
18,Trade Payables,94.59,120.77,64.67,infoedgeindia,63.42,67.04,
19,Other Current Liabilities,1156.11,930.94,580.94,infoedgeindia,520.70,528.11,
20,Short Term Provisions,97.22,88.69,67.19,infoedgeindia,55.27,49.93,
21,Total Current Liabilities,1348.94,1140.40,712.80,infoedgeindia,639.38,645.09,
22,Total Capital And Liabilities,16660.30,20482.89,6407.49,infoedgeindia,2898.89,3189.00,
23,ASSETS,,,,infoedgeindia,,,
24,NON-CURRENT ASSETS,,,,infoedgeindia,,,
25,Tangible Assets,202.75,131.03,130.37,infoedgeindia,156.77,79.48,
26,Intangible Assets,120.03,61.12,20.33,infoedgeindia,25.82,4.90,
27,Capital Work-In-Progress,4.20,0.00,0.00,infoedgeindia,0.00,0.14,
28,Fixed Assets,326.98,192.15,150.69,infoedgeindia,182.59,86.52,
29,Non-Current Investments,11648.67,15173.26,2324.44,infoedgeindia,877.59,864.23,
30,Deferred Tax Assets [Net],1.90,0.01,36.35,infoedgeindia,33.59,43.78,
31,Long Term Loans And Advances,0.00,0.00,0.00,infoedgeindia,0.00,0.00,
32,Other Non-Current Assets,514.14,805.29,693.64,infoedgeindia,222.88,257.64,
33,Total Non-Current Assets,12969.67,17011.10,3264.82,infoedgeindia,1376.35,1255.86,
34,CURRENT ASSETS,,,,infoedgeindia,,,
35,Current Investments,754.68,440.93,0.00,infoedgeindia,255.40,339.95,
36,Inventories,0.00,0.00,0.00,infoedgeindia,0.00,0.04,
37,Trade Receivables,12.62,30.02,6.37,infoedgeindia,9.12,6.75,
38,Cash And Cash Equivalents,571.46,368.29,642.23,infoedgeindia,529.17,260.34,
39,Short Term Loans And Advances,0.00,8.37,6.21,infoedgeindia,3.04,0.00,
40,OtherCurrentAssets,2351.88,2624.19,2487.85,infoedgeindia,725.81,1326.06,
41,Total Current Assets,3690.63,3471.79,3142.67,infoedgeindia,1522.54,1933.13,
42,Total Assets,16660.30,20482.89,6407.49,infoedgeindia,2898.89,3189.00,
43,OTHER ADDITIONAL INFORMATION,,,,infoedgeindia,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,infoedgeindia,,,
45,Contingent Liabilities,0.00,0.00,0.00,infoedgeindia,2.44,0.83,
46,BONUS DETAILS,,,,infoedgeindia,,,
47,Bonus Equity Share Capital,103.59,103.59,103.59,infoedgeindia,103.59,103.59,
48,NON-CURRENT INVESTMENTS,,,,infoedgeindia,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,infoedgeindia,0.00,0.00,
50,Non-Current Investments Unquoted Book Value,9575.92,12745.77,208.37,infoedgeindia,35.62,0.00,
51,CURRENT INVESTMENTS,,,,infoedgeindia,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,infoedgeindia,0.00,0.00,
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,infoedgeindia,255.40,339.95,
0,Balance Sheet of Infosys (in Rs. Cr.),Mar 23,Mar 22,Mar 21,infosys,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,infosys,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,infosys,,,
3,SHAREHOLDER'S FUNDS,,,,infosys,,,
4,Equity Share Capital,2069.00,2098.00,2124.00,infosys,2122.00,2170.00,
5,Total Share Capital,2069.00,2098.00,2124.00,infosys,2122.00,2170.00,
6,Reserves and Surplus,72460.00,72646.00,73855.00,infosys,63031.00,62551.00,
7,Total Reserves and Surplus,72460.00,72646.00,73855.00,infosys,63031.00,62551.00,
8,Total Shareholders Funds,75407.00,75350.00,76351.00,infosys,65450.00,64948.00,
9,Minority Interest,388.00,386.00,431.00,infosys,394.00,58.00,
10,NON-CURRENT LIABILITIES,,,,infosys,,,
11,Long Term Borrowings,0.00,0.00,0.00,infosys,0.00,0.00,
12,Deferred Tax Liabilities [Net],1220.00,1156.00,875.00,infosys,968.00,672.00,
13,Other Long Term Liabilities,9615.00,7390.00,6864.00,infosys,5100.00,422.00,
14,Long Term Provisions,0.00,0.00,0.00,infosys,0.00,0.00,
15,Total Non-Current Liabilities,10835.00,8546.00,7739.00,infosys,6068.00,1094.00,
16,CURRENT LIABILITIES,,,,infosys,,,
17,Short Term Borrowings,0.00,0.00,0.00,infosys,0.00,0.00,
18,Trade Payables,3865.00,4134.00,2645.00,infosys,2852.00,1655.00,
19,Other Current Liabilities,34014.00,28494.00,20507.00,infosys,17432.00,16407.00,
20,Short Term Provisions,1307.00,975.00,713.00,infosys,572.00,576.00,
21,Total Current Liabilities,39186.00,33603.00,23865.00,infosys,20856.00,18638.00,
22,Total Capital And Liabilities,125816.00,117885.00,108386.00,infosys,92768.00,84738.00,
23,ASSETS,,,,infosys,,,
24,NON-CURRENT ASSETS,,,,infosys,,,
